2011-05-22 09:55:49,120 - mailLogger - INFO - receive mail from test
2011-05-22 09:55:51,438 - mailLogger - INFO - receive mail from test3
10:13:11 11/05/22 send INFO:i am ok
15:04:10 11/05/22 receive INFO:downloading 1229 <bcaec517ad0ae5454504a3c9cb77@google.com>
15:04:43 11/05/22 receive INFO:downloading 1230 <698919CA19E38AD78C6D5A1A9A5DECD1E703212C@PuDu>
15:04:44 11/05/22 receive INFO:downloading 1231 <973ce6b8415bdacc26cf83d1b08f193b@m.facebook.com>
15:06:11 11/05/22 receive INFO:down 1 <AANLkTiku5wEx8=AM=9q7gX6kVqu4bJWsOo8B2cDmsVu4@mail.gmail.com>
15:06:12 11/05/22 receive INFO:down 2 <AANLkTin8T26_JpGje61H-V8_bS=PZLHPED_jhzTni6oW@mail.gmail.com>
15:06:12 11/05/22 receive INFO:down 3 <AANLkTi=nfSFJO=1Dj9fSnyf9CazN1NQe5V8AtBASvyh3@mail.gmail.com>
15:06:13 11/05/22 receive INFO:down 4 <AANLkTim=pOqbEyN5pkOZKMRDp0V4DLEcvB16RoJBQyvb@mail.gmail.com>
15:06:14 11/05/22 receive INFO:down 5 <1249fc5.10c9.12eff3aa902.Coremail.mdtang@126.com>
15:06:18 11/05/22 receive INFO:down 6 <AANLkTi=MhOvBCLsX=xMatm9x_RYy_kV9AKmEYrtkP5my@mail.gmail.com>
15:06:22 11/05/22 receive INFO:down 7 <AANLkTi=RpAYRc_s=fBXph6T3uQWbJf-viqguvZ=TJ=Fp@mail.gmail.com>
15:06:26 11/05/22 receive INFO:down 8 <BANLkTimWefkpB=Ode1Vcwb8m9R66zUR4Hw@mail.gmail.com>
15:06:28 11/05/22 receive INFO:down 9 <AANLkTikGzHCdkkuzbD3VBQf89bvE4LHZKjDitYuQsxkE@mail.gmail.com>
15:06:29 11/05/22 receive INFO:down 10 <BANLkTim-3Ys7ntiowj+ScZgubt5QSQ1-tw@mail.gmail.com>
15:06:41 11/05/22 receive INFO:down 11 <AANLkTimGsoaWPtfeftJGfnVTfwmjmkeZ3Loeu8y0t+JW@mail.gmail.com>
15:06:42 11/05/22 receive INFO:down 12 <AANLkTikqyK1XKMwOhYnbqNvQ7dm3Pb6vm7wYiOkgF23k@mail.gmail.com>
15:06:44 11/05/22 receive INFO:down 13 <AANLkTim6O=Ysa+_cqwn_F28GMZZf3x=wb5fPma5V_99o@mail.gmail.com>
15:06:46 11/05/22 receive INFO:down 14 <201103291204352964675@songshulin.net>
15:07:07 11/05/22 receive INFO:down 15 <BANLkTi=7WRKmPTw6Oq7ZVo3UL0X=XkjoaQ@mail.gmail.com>
15:07:09 11/05/22 receive INFO:down 16 <0015177412f42c67a5049f9ac4c0@google.com>
15:07:09 11/05/22 receive INFO:down 17 <001301cbedf0$d4ad4410$8109a8c0@WWWD0B3803835F>
15:07:10 11/05/22 receive INFO:down 18 <AANLkTikHKNh025Ctb-zHw27nFZM7mTVOqwiCERubrKSr@mail.gmail.com>
15:07:11 11/05/22 receive INFO:down 19 <AANLkTikpKF42cag9Bapmtm8NKTpWVfPzPS5DCPVSJj9N@mail.gmail.com>
15:07:12 11/05/22 receive INFO:down 20 <AANLkTinbSzJAxh7GwWNsSdWYTc+-fmRBhCtJQzjoKfEf@mail.gmail.com>
15:07:14 11/05/22 receive INFO:down 21 <000601cbee08$7f256fa0$7d704ee0$@net>
15:07:15 11/05/22 receive INFO:down 22 <AANLkTinfUPZhp55Ne4Fppbbk1ds8ocvTAzf1uvhC0=yT@mail.gmail.com>
15:07:17 11/05/22 receive INFO:down 23 <BANLkTimuSrd289wRmpX6Rgf_wzc=LJKPjA@mail.gmail.com>
15:07:23 11/05/22 receive INFO:down 24 <90e6ba613db47c902d049fa08837@google.com>
15:07:24 11/05/22 receive INFO:down 25 <BANLkTimydzMYZ3FpQz7RpJAG1MSZZK0Tbg@mail.gmail.com>
15:07:31 11/05/22 receive INFO:down 26 <4d921c0c.8111e70a.34a9.0928@mx.google.com>
15:07:42 11/05/22 receive INFO:down 27 <AANLkTi=PF-xER_LWRaWcNRkdgrwMu0vzQRE0s65VnNyg@mail.gmail.com>
15:07:47 11/05/22 receive INFO:down 28 <626248060929895746@unknownmsgid>
